hour,day,month,dayofweek,gen_lag_1,gen_lag_24
22,28,1,3,29.0,29.0
23,28,1,3,29.0,0.0
0,29,1,4,0.0,0.0
1,29,1,4,0.0,0.0
2,29,1,4,0.0,1.0
3,29,1,4,0.0,0.0
4,29,1,4,0.0,0.0
5,29,1,4,0.0,0.0
6,29,1,4,0.0,56.0
7,29,1,4,70.0,1041.0
8,29,1,4,975.0,2462.0
9,29,1,4,2398.0,3594.0
10,29,1,4,3616.0,4270.0
11,29,1,4,4536.0,4688.0
12,29,1,4,5197.0,4310.0
13,29,1,4,5208.0,3598.0
14,29,1,4,4182.0,2018.0
15,29,1,4,2255.0,494.0
16,29,1,4,594.0,35.0
17,29,1,4,37.0,29.0
18,29,1,4,29.0,29.0
19,29,1,4,29.0,29.0
20,29,1,4,29.0,29.0
21,29,1,4,29.0,29.0
22,29,1,4,29.0,29.0
23,29,1,4,29.0,0.0
0,30,1,5,0.0,0.0
1,30,1,5,0.0,0.0
2,30,1,5,0.0,0.0
3,30,1,5,0.0,0.0
4,30,1,5,0.0,0.0
5,30,1,5,0.0,0.0
6,30,1,5,0.0,70.0
7,30,1,5,67.0,975.0
8,30,1,5,808.0,2398.0
9,30,1,5,1674.0,3616.0
10,30,1,5,2888.0,4536.0
11,30,1,5,3444.0,5197.0
12,30,1,5,3229.0,5208.0
13,30,1,5,2838.0,4182.0
14,30,1,5,2793.0,2255.0
15,30,1,5,1504.0,594.0
16,30,1,5,419.0,37.0
17,30,1,5,34.0,29.0
18,30,1,5,29.0,29.0
19,30,1,5,29.0,29.0
20,30,1,5,29.0,29.0
21,30,1,5,29.0,29.0
22,30,1,5,29.0,29.0
23,30,1,5,29.0,0.0
0,31,1,6,0.0,0.0
1,31,1,6,0.0,0.0
2,31,1,6,0.0,0.0
3,31,1,6,0.0,0.0
4,31,1,6,0.0,0.0
5,31,1,6,0.0,0.0
6,31,1,6,0.0,67.0
7,31,1,6,97.0,808.0
8,31,1,6,769.0,1674.0
9,31,1,6,2587.0,2888.0
10,31,1,6,3672.0,3444.0
11,31,1,6,4033.0,3229.0
12,31,1,6,4082.0,2838.0
13,31,1,6,3893.0,2793.0
14,31,1,6,3776.0,1504.0
15,31,1,6,2148.0,419.0
16,31,1,6,585.0,34.0
17,31,1,6,39.0,29.0
18,31,1,6,29.0,29.0
19,31,1,6,29.0,29.0
20,31,1,6,29.0,29.0
21,31,1,6,29.0,29.0
22,31,1,6,29.0,29.0
23,31,1,6,29.0,0.0
0,1,2,0,29.0,0.0
1,1,2,0,29.0,0.0
